gene	regres. slope	regres. Y Int	regres. R value	Half-Life Calc (minutes)	# of data pts. After cuttoff	# of leading data points affected by lag calc	ln adjusted value of last data point used in regres.	In Operon (y or n)	Operon #	complex or simple	Total # of data points	R value flag	Half-life Flag	0	1	2	4	8	15
CCNA_00296	x	x	x	x	4	0	4.945857746493151	y	163.1	simple	4	x	x	4.605170185988092	4.415152227605405	5.114700339071007	4.945857746493151	x	x
CCNA_00299	-1.3537909519016003	5.201921236269401	-0.9818716506088533	0.5120045894724863	3	-1	2.5618983621556013	n	165	simple	3	x	x	4.605170185988092	3.6296837928687364	2.5618983621556013	x	x	x
CCNA_00301	x	x	x	x	1	0	4.605170185988092	y	167	complex	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00302	x	x	x	x	3	0	4.068355662862302	y	167	complex	3	x	x	4.605170185988092	4.1778711477805945	4.068355662862302	x	x	x
CCNA_00308	x	x	x	x	2	0	2.900240488657403	n	169	complex	2	x	x	4.605170185988092	2.900240488657403	x	x	x	x
CCNA_00318	-0.9169135054489276	4.89910842673212	-0.9737972625744731	0.7559569975148042	3	-1	3.132609519220911	n	172	simple	3	x	x	4.605170185988092	3.7912368386143322	3.132609519220911	x	x	x
CCNA_00322	-1.8685444337234587	4.738082269607352	-0.8967953843265228	0.3709556851044249	3	-1	1.3437708903171353	y	175	simple	3	x	x	4.605170185988092	1.9945182273651754	1.3437708903171353	x	x	x
CCNA_00323	-0.468124043376475	4.588527031134633	-0.9044698479033819	1.480691262000619	4	-1	2.7963928442020234	y	175	simple	4	x	x	4.605170185988092	3.8048126176073214	3.4745143137215027	2.7963928442020234	x	x
CCNA_00326	-0.2793414858934235	4.163035922849421	-0.9135969183293755	2.4813614001623807	5	-1	2.145595640254149	n	177	simple	5	x	x	4.605170185988092	3.646543894711072	3.38807219436091	2.715708006969146	2.145595640254149	x
CCNA_00328	x	x	x	x	2	0	3.3813634009500313	y	179	simple	2	x	x	4.605170185988092	3.3813634009500313	x	x	x	x
